X,Z,Success?,Stair_Floor1,Stair_Floor2,Water_height,StairObstacle1,StairObstacle2,StairObstacle3
-19.5,-14.5,N,0,0,-10,3,1,4
-19,-14.5,N,0,0,-10,1,2,7
-18.5,-14.5,N,0,0,-10,3,6,7
-18,-14.5,N,0,0,-10,6,4,5
-17.5,-14.5,N,0,0,-10,4,8,5
-17,-14.5,N,0,0,-10,7,5,2
-16.5,-14.5,N,0,0,-10,3,6,8
-16,-14.5,N,0,0,-10,1,3,4
-15.5,-14.5,N,0,0,-10,1,3,2
-15,-14.5,N,0,0,-10,8,4,7
-14.5,-14.5,N,0,0,-10,6,7,4
-14,-14.5,N,0,0,-10,5,8,3
-13.5,-14.5,N,0,0,-10,7,3,2
-13,-14.5,N,0,0,-10,2,1,3
-12.5,-14.5,N,0,0,-10,1,7,6
-12,-14.5,N,0,0,-10,7,3,4
-11.5,-14.5,N,0,0,-10,2,5,1
-11,-14.5,S,4,4,-3.8,8,5,6
-10.5,-14.5,S,3,3,-3.2,2,5,6
-10,-14.5,S,4,4,4,3,6,1
-9.5,-14.5,S,1,2,-0.1,3,8,4
-9,-14.5,S,3,4,-3.3,1,7,2
-8.5,-14.5,S,3,4,-3.7,7,1,5
-8,-14.5,F,3,4,-8.7,2,3,1
-7.5,-14.5,N,0,0,-10,3,5,2
-7,-14.5,N,0,0,-10,8,4,5
-6,-14.5,S,3,3,-3.9,2,5,6
-5.5,-14.5,S,3,3,-3.8,5,6,4
-5,-14.5,F,3,3,-10,5,8,4
-4.5,-14.5,F,3,3,-9.9,2,5,6
-4,-14.5,F,3,3,-9.9,8,4,2
-3.5,-14.5,S,4,4,-3,3,7,1
-3,-14.5,S,3,4,-3.6,1,7,2
-2.5,-14.5,F,3,4,-9.9,3,5,1
-2,-14.5,F,3,4,-9.9,7,2,8
-1.5,-14.5,S,4,3,-2.9,3,8,5
-1,-14.5,F,4,3,1.7,6,2,1
-0.5,-14.5,F,2,3,-4.1,4,1,3
0,-14.5,S,4,3,0.3,3,2,1
0.5,-14.5,S,4,4,-3.4,1,2,7
1,-14.5,S,4,4,-3.3,7,5,6
1.5,-14.5,F,4,4,-9.3,1,5,7
2,-14.5,N,0,0,-10,6,4,2
2.5,-14.5,N,0,0,-10,6,4,5
3,-14.5,F,4,4,-9.9,1,8,7
3.5,-14.5,F,4,4,-9.4,8,7,6
4,-14.5,N,0,0,-10,7,2,6
4.5,-14.5,N,0,0,-10,1,8,3
5,-14.5,N,0,0,-10,3,7,8
5.5,-14.5,S,3,3,-3.7,4,5,2
6,-14.5,S,1,1,6.2,3,6,4
6.5,-14.5,F,1,1,-9.8,8,6,1
7,-14.5,S,4,4,-3.9,1,3,5
7.5,-14.5,F,4,4,-9.7,6,1,5
8,-14.5,S,4,4,-4,2,1,7
8.5,-14.5,F,4,4,-9.7,5,7,1
9,-14.5,S,4,4,-4,2,5,3
9.5,-14.5,S,4,4,-4.1,6,7,2
10,-14.5,F,4,4,-9.6,5,4,7
10.5,-14.5,S,4,3,-3.8,8,3,1
11,-14.5,S,4,4,-4.2,2,3,5
11.5,-14.5,N,0,0,-10,6,3,5
12,-14.5,N,0,0,-10,7,4,5
12.5,-14.5,N,0,0,-10,4,5,2
13,-14.5,N,0,0,-10,4,8,5
13.5,-14.5,N,0,0,-10,7,3,8
14,-14.5,N,0,0,-10,6,2,7
14.5,-14.5,N,0,0,-10,7,4,5
15,-14.5,N,0,0,-10,1,4,7
15.5,-14.5,N,0,0,-10,7,4,2
16,-14.5,N,0,0,-10,7,1,2
16.5,-14.5,N,0,0,-10,8,6,4
17,-14.5,N,0,0,-10,5,8,7
17.5,-14.5,N,0,0,-10,6,5,1
18,-14.5,N,0,0,-10,3,4,1
18.5,-14.5,N,0,0,-10,1,6,8
19,-14.5,N,0,0,-10,4,1,6
19.5,-14.5,N,0,0,-10,4,3,1
-19.5,-14,N,0,0,-10,3,7,4
-19,-14,N,0,0,-10,1,3,5
-18.5,-14,N,0,0,-10,6,4,2
-18,-14,N,0,0,-10,4,8,2
-17.5,-14,N,0,0,-10,6,1,2
-17,-14,N,0,0,-10,1,4,3
-16.5,-14,N,0,0,-10,2,1,7
-16,-14,N,0,0,-10,1,7,8
-15.5,-14,N,0,0,-10,8,7,3
-15,-14,N,0,0,-10,6,1,4
-14.5,-14,N,0,0,-10,1,8,6
-14,-14,N,0,0,-10,7,3,6
-13.5,-14,N,0,0,-10,2,6,5
-13,-14,N,0,0,-10,2,8,3
-12.5,-14,N,0,0,-10,3,6,5
-12,-14,N,0,0,-10,8,5,3
-11.5,-14,N,0,0,-10,4,1,5
-11,-14,N,0,0,-10,6,3,4
-10.5,-14,N,0,0,-10,7,3,1
-10,-14,F,1,4,-5.9,3,4,6
-9.5,-14,S,3,3,-3.7,5,6,8
-9,-14,S,4,4,-3.4,6,3,1
-8.5,-14,S,3,3,-4,8,5,1
-8,-14,S,3,3,-3.8,5,8,1
-7.5,-14,F,3,3,-9.5,2,7,1
-7,-14,N,0,0,-10,1,6,3
-6.5,-14,S,4,4,-3.3,6,3,2
-6,-14,F,4,4,-8.9,3,8,2
-5.5,-14,F,4,4,-8.8,3,8,1
-5,-14,N,0,0,-10,6,5,4
-4.5,-14,S,3,4,-3.6,7,2,1
-4,-14,S,4,4,-2.2,3,5,7
-3.5,-14,S,3,3,-3.6,4,8,5
-3,-14,F,3,3,-10,2,5,3
-2.5,-14,S,4,3,-3.4,3,8,5
-2,-14,S,3,3,-3.5,8,1,4
-1.5,-14,S,3,4,-3.1,1,7,5
-1,-14,S,4,4,-1.9,5,1,3
-0.5,-14,S,4,4,-3.4,6,3,5
0,-14,F,4,4,-0.7,8,7,1
0.5,-14,N,0,0,-10,2,5,8
1,-14,S,4,3,-3.6,3,2,8
1.5,-14,F,3,3,-7.8,2,1,7
2,-14,N,0,0,-10,4,3,7
2.5,-14,F,3,3,-7,4,2,5
3,-14,S,4,1,-1,2,7,8
3.5,-14,S,4,4,-3.8,1,3,2
4,-14,S,4,4,-3.8,6,5,7
4.5,-14,S,4,3,-3.5,6,8,3
5,-14,S,3,4,-2.1,6,1,7
5.5,-14,S,3,4,-3.3,5,4,2
6,-14,S,4,4,-3.8,5,6,7
6.5,-14,F,4,4,-9.2,7,4,6
7,-14,N,0,0,-10,3,2,6
7.5,-14,S,4,1,0.6,8,2,7
8,-14,S,4,4,-4,7,6,1
8.5,-14,F,4,4,-10,6,4,2
9,-14,S,4,2,0.7,7,2,8
9.5,-14,F,4,2,-10,1,6,2
10,-14,S,3,4,-2.8,4,5,7
10.5,-14,N,0,0,-10,6,4,2
